# Lines starting with # are skipped
# Parameters named 'ignore' are ignored (to avoid sending sensitive data)
#code,name,ptype,description
0-0:1.0.0,timestamp,string,Timestamp
0-0:96.3.10,switch_electricity,string, Switch electricity
0-1:24.4.0,switch_gas,string,Switch gas
0-0:96.1.1,ignore,string,Serial number of electricity meter
0-1:96.1.1,ignore,string,Serial number of gas meter
0-0:96.14.0,current_rate,float,Current rate (1=day;2=night)
1-0:1.8.1,rate_day_total_consumption,float,Rate 1 (day) - total consumption
1-0:1.8.2,rate_night_total_consumption,float,Rate 2 (night) - total consumption
1-0:2.8.1,rate_day_total_production,float,Rate 1 (day) - total production
1-0:2.8.2,rate_night_total_production,float,Rate 2 (night) - total production
1-0:21.7.0,l1_consumption,float,L1 consumption
1-0:41.7.0,l2_consumption,float,L2 consumption
1-0:61.7.0,l3_consumption,float,L3 consumption
1-0:1.7.0,all_phases_consumption,float,All phases consumption
1-0:22.7.0,l1_production,float,L1 production
1-0:42.7.0,l2_production,float,L2 production
1-0:62.7.0,l3_production,float,L3 production
1-0:2.7.0,all_phases_production,float,All phases production
1-0:32.7.0,l1_voltage,float,L1 voltage
1-0:52.7.0,l2_voltage,float,L2 voltage
1-0:72.7.0,l3_voltage,float,L3 voltage
1-0:31.7.0,l1_current,float,L1 current
1-0:51.7.0,l2_current,float,L2 current
1-0:71.7.0,l3_current,float,L3 current
0-1:24.2.3,gas_consumption,float,Gas consumption
0-0:96.1.4,version,string,Version information
1-0:1.4.0,average_demand,float,Current average demand - Active energy import
1-0:1.6.0,maximum_demand,float,Maximum demand - Active energy import of the running month

#this is an array of values, not yet supported
0-0:98.1.0,ignore,string,Maximum demand history

#no idea what the following two are but they always show 999.9*kW and 999*A respectively
0-0:17.0.0,ignore,string,no idea
1-0:31.4.0,ignore,string,no idea

0-0:96.13.0,consumer_message_code,string,Consumer message code
0-1:24.1.0,device_type,string,Device type
